"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Full Name"
1,30 Oct 2021 16:00:56.502,30 Oct 2021 16:03:02.232,125.729,"Panama"
2,30 Oct 2021 16:50:55.459,30 Oct 2021 16:54:35.529,220.070,"Singapore"
3,30 Oct 2021 17:01:15.565,30 Oct 2021 17:04:43.647,208.083,"Jeju"
4,30 Oct 2021 17:03:51.843,30 Oct 2021 17:07:12.216,200.373,"Tokyo"
5,30 Oct 2021 17:25:00.101,30 Oct 2021 17:28:41.967,221.866,"Los_Angeles"
6,30 Oct 2021 17:47:04.303,30 Oct 2021 17:50:45.345,221.042,"Cordoba"
7,30 Oct 2021 18:15:31.085,30 Oct 2021 18:18:20.269,169.184,"Mauritius"
8,30 Oct 2021 19:45:53.037,30 Oct 2021 19:48:19.836,146.798,"Hartebeesthoek"
9,30 Oct 2021 20:34:24.588,30 Oct 2021 20:37:27.135,182.548,"Hawaii"
10,30 Oct 2021 21:01:33.628,30 Oct 2021 21:04:59.880,206.252,"Punta_Arenas"
11,30 Oct 2021 21:02:19.824,30 Oct 2021 21:05:33.100,193.275,"Tolhuin"
12,30 Oct 2021 21:36:33.866,30 Oct 2021 21:40:08.518,214.652,"Dubai"
13,30 Oct 2021 22:37:30.229,30 Oct 2021 22:41:14.605,224.375,"Punta_Arenas"
14,30 Oct 2021 22:38:11.726,30 Oct 2021 22:41:40.002,208.276,"Tolhuin"
15,30 Oct 2021 23:33:05.280,30 Oct 2021 23:36:15.774,190.495,"Tokyo"
16,31 Oct 2021 00:13:55.259,31 Oct 2021 00:16:52.622,177.363,"Punta_Arenas"
17,31 Oct 2021 00:15:05.555,31 Oct 2021 00:16:29.159,83.604,"Tolhuin"
18,31 Oct 2021 00:45:54.091,31 Oct 2021 00:49:37.244,223.153,"Nemea"
19,31 Oct 2021 01:07:16.843,31 Oct 2021 01:10:58.609,221.765,"Jeju"
20,31 Oct 2021 01:54:00.463,31 Oct 2021 01:57:43.451,222.988,"Cordoba"
21,31 Oct 2021 02:14:02.593,31 Oct 2021 02:17:44.415,221.822,"Maspalomas"
22,31 Oct 2021 02:17:55.342,31 Oct 2021 02:21:34.228,218.886,"Puertollano"
23,31 Oct 2021 03:06:45.652,31 Oct 2021 03:09:00.669,135.017,"Awarua"
24,31 Oct 2021 03:50:20.092,31 Oct 2021 03:53:59.064,218.972,"Azores"
25,31 Oct 2021 04:22:43.811,31 Oct 2021 04:25:57.667,193.856,"Singapore"
26,31 Oct 2021 04:42:11.957,31 Oct 2021 04:45:47.970,216.013,"Awarua"
27,31 Oct 2021 05:12:18.891,31 Oct 2021 05:15:46.830,207.939,"Panama"
28,31 Oct 2021 05:47:27.608,31 Oct 2021 05:47:47.003,19.395,"Dubai"
29,31 Oct 2021 05:51:59.639,31 Oct 2021 05:55:33.409,213.770,"Bangladore"
30,31 Oct 2021 06:07:07.480,31 Oct 2021 06:10:09.380,181.900,"Mingenew"
31,31 Oct 2021 06:19:21.430,31 Oct 2021 06:21:55.517,154.087,"Awarua"
32,31 Oct 2021 07:14:27.724,31 Oct 2021 07:17:55.734,208.010,"Nemea"
33,31 Oct 2021 07:55:33.656,31 Oct 2021 07:59:04.010,210.354,"Awarua"
34,31 Oct 2021 08:46:14.673,31 Oct 2021 08:49:28.329,193.656,"Puertollano"
35,31 Oct 2021 09:08:06.401,31 Oct 2021 09:11:32.486,206.085,"Mauritius"
36,31 Oct 2021 09:32:03.732,31 Oct 2021 09:34:56.184,172.452,"Awarua"
37,31 Oct 2021 09:59:34.844,31 Oct 2021 10:03:00.729,205.885,"Los_Angeles"
38,31 Oct 2021 10:18:38.998,31 Oct 2021 10:21:52.938,193.940,"Azores"
39,31 Oct 2021 10:23:11.040,31 Oct 2021 10:25:08.628,117.587,"Maspalomas"
40,31 Oct 2021 10:41:26.787,31 Oct 2021 10:43:16.661,109.874,"Hartebeesthoek"
41,31 Oct 2021 11:27:06.784,31 Oct 2021 11:30:08.510,181.726,"Hawaii"
42,31 Oct 2021 14:14:33.418,31 Oct 2021 14:18:16.415,222.996,"Mingenew"
43,31 Oct 2021 16:08:10.325,31 Oct 2021 16:11:21.947,191.622,"Tokyo"
44,31 Oct 2021 16:30:17.554,31 Oct 2021 16:31:37.252,79.698,"Los_Angeles"
45,31 Oct 2021 16:40:41.279,31 Oct 2021 16:43:57.474,196.195,"Panama"
46,31 Oct 2021 17:41:46.300,31 Oct 2021 17:45:00.085,193.785,"Jeju"
47,31 Oct 2021 18:06:36.105,31 Oct 2021 18:07:38.889,62.784,"Los_Angeles"
48,31 Oct 2021 18:28:16.655,31 Oct 2021 18:30:27.014,130.359,"Cordoba"
49,31 Oct 2021 18:55:38.831,31 Oct 2021 18:58:55.113,196.282,"Mauritius"
50,31 Oct 2021 19:05:40.693,31 Oct 2021 19:09:21.236,220.543,"Bangladore"
51,31 Oct 2021 20:06:34.085,31 Oct 2021 20:08:45.557,131.472,"Punta_Arenas"
52,31 Oct 2021 20:07:22.304,31 Oct 2021 20:09:19.698,117.394,"Tolhuin"
53,31 Oct 2021 20:25:43.232,31 Oct 2021 20:29:17.670,214.438,"Hartebeesthoek"
54,31 Oct 2021 20:42:23.385,31 Oct 2021 20:42:58.663,35.277,"Dubai"
55,31 Oct 2021 21:14:50.486,31 Oct 2021 21:17:41.295,170.809,"Hawaii"
56,31 Oct 2021 21:41:45.921,31 Oct 2021 21:45:27.896,221.975,"Punta_Arenas"
57,31 Oct 2021 21:42:29.400,31 Oct 2021 21:45:59.206,209.807,"Tolhuin"
58,31 Oct 2021 23:17:55.467,31 Oct 2021 23:21:32.479,217.012,"Punta_Arenas"
59,31 Oct 2021 23:18:39.677,31 Oct 2021 23:21:46.600,186.923,"Tolhuin"
60,31 Oct 2021 23:51:02.420,31 Oct 2021 23:53:06.902,124.481,"Nemea"
61,1 Nov 2021 00:12:41.132,1 Nov 2021 00:13:47.042,65.910,"Jeju"
62,1 Nov 2021 00:13:19.286,1 Nov 2021 00:16:50.880,211.594,"Tokyo"
63,1 Nov 2021 01:27:13.051,1 Nov 2021 01:29:20.526,127.475,"Nemea"
64,1 Nov 2021 01:48:55.085,1 Nov 2021 01:49:53.275,58.190,"Jeju"
